Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
04/17/2024 02:00,UK,82),,PPI Output NSA YoY,Mar,0.60%,0.60%,0.40%,--,12.7907,UKPPB7SY Index
04/17/2024 02:00,UK,83),,PPI Input NSA MoM,Mar,0.10%,-0.10%,-0.40%,0.30%,6.97674,UKPPHIPM Index
04/17/2024 02:00,UK,84),,PPI Input NSA YoY,Mar,-2.70%,-2.50%,-2.70%,-2.20%,9.30233,UKPPHIPY Index
04/17/2024 04:30,UK,85),,House Price Index YoY,Feb,--,-0.20%,-0.60%,-1.30%,29.0698,UKLHUKY Index
04/17/2024 05:00,EC,86),,CPI YoY,Mar F,2.40%,2.40%,2.40%,2.60%,95.122,ECCPEMUY Index
04/17/2024 05:00,EC,87),,CPI MoM,Mar F,0.80%,0.80%,0.80%,--,85.3659,ECCPEMUM Index
04/17/2024 05:00,EC,88),,CPI Core YoY,Mar F,2.90%,2.90%,2.90%,--,70.7317,CPEXEMUY Index
04/17/2024 07:00,US,89),,MBA Mortgage Applications,Apr-12,--,3.30%,0.10%,--,89.2308,MBAVCHNG Index
04/17/2024 08:30,CA,90),,Int'l Securities Transactions,Feb,--,-8.78b,8.88b,--,44.7368,CAITFICS Index
04/17/2024 14:00,US,91),,Federal Reserve Releases Beige Book,,,,,,0,
04/17/2024 16:00,US,92),,Total Net TIC Flows,Feb,--,$51.6b,-$8.8b,-$30.8b,61.5385,FRNTTNET Index
04/17/2024 16:00,US,93),,Net Long-term TIC Flows,Feb,--,$71.5b,$36.1b,$14.0b,70,FRNTTOTL Index
04/17/2024 19:50,JN,94),,Japan Buying Foreign Stocks,Apr-12,--,¥53.9b,-¥301.8b,-¥293.2b,43.3333,JSIASTCK Index
04/17/2024 19:50,JN,95),,Japan Buying Foreign Bonds,Apr-12,--,-¥1005.9b,¥346.4b,¥347.9b,56.6667,JSIABOND Index
04/17/2024 19:50,JN,96),,Foreign Buying Japan Bonds,Apr-12,--,¥50.7b,-¥349.0b,-¥348.9b,47.7778,JSIHBOND Index
04/17/2024 19:50,JN,97),,Foreign Buying Japan Stocks,Apr-12,--,¥1740.0b,¥1764.4b,¥1764.9b,52.2222,JSIHSTCK Index
04/17/2024 21:00,CH,98),,Swift Global Payments CNY,Mar,--,4.69%,4.00%,--,28.3019,SWFTCNY Index
04/18/2024 00:30,JN,99),,Tertiary Industry Index MoM,Feb,0.50%,1.50%,0.30%,-0.50%,87.7778,JNTIAMOM Index
04/18/2024 01:00,JN,100),,Tokyo Condominiums for Sale YoY,Mar,--,0.50%,-27.60%,--,46.6667,JNC SALE Index
04/18/2024 02:00,JN,101),,Machine Tool Orders YoY,Mar F,--,-3.80%,-3.80%,--,66.6667,JNMTOY Index
04/18/2024 02:00,EC,102),,EU27 New Car Registrations,Mar,--,-5.20%,10.10%,--,36.5854,WCAR25 Y Index
04/18/2024 02:06,CH,103),,FX Net Settlement - Clients CNY,Mar,--,-145.1b,-43.1b,--,24.5283,CNFZNCC Index
04/18/2024 04:00,EC,104),,ECB Current Account SA,Feb,--,29.5b,39.4b,39.3b,29.2683,EUSATOTN Index
04/18/2024 04:30,IT,105),,Current Account Balance,Feb,--,2306m,-1091m,--,26.4706,ITCAEUR Index
04/18/2024 05:00,EC,106),,Construction Output MoM,Feb,--,1.80%,0.50%,0.20%,19.5122,EUCPTSAM Index
04/18/2024 05:00,EC,107),,Construction Output YoY,Feb,--,-0.40%,0.80%,-0.30%,17.0732,EUCPTWDY Index
04/18/2024 08:30,US,108),,Philadelphia Fed Business Outlook,Apr,2,15.5,3.2,--,76.9231,OUTFGAF Index
04/18/2024 08:30,US,109),,Initial Jobless Claims,Apr-13,215k,212k,211k,212k,98.4615,INJCJC Index
04/18/2024 08:30,US,110),,Continuing Claims,Apr-06,1818k,1812k,1817k,1810k,68.9231,INJCSP Index
04/18/2024 10:00,US,111),,Leading Index,Mar,-0.10%,--,0.10%,--,81.5385,LEI CHNG Index
04/18/2024 10:00,US,112),,Existing Home Sales,Mar,4.20m,--,4.38m,--,86.1538,ETSLTOTL Index
04/18/2024 10:00,US,113),,Existing Home Sales MoM,Mar,-4.10%,--,9.50%,--,47.6923,ETSLMOM Index
04/18/2024 19:30,JN,114),,Natl CPI YoY,Mar,2.80%,--,2.80%,--,90,JNCPIYOY Index
04/18/2024 19:30,JN,115),,Natl CPI Ex Fresh Food YoY,Mar,2.70%,--,2.80%,--,68.8889,JNCPIXFF Index
04/18/2024 19:30,JN,116),,"Natl CPI Ex Fresh Food, Energy YoY",Mar,3.00%,--,3.20%,--,23.3333,JCPNEFFE Index
04/17/2024 04/20,CH,117),,FDI YTD YoY CNY,Mar,--,--,-19.90%,--,15.0943,CNDIACRY Index
04/19/2024 02:00,UK,118),,Retail Sales Inc Auto Fuel MoM,Mar,0.30%,--,0.00%,--,82.5581,UKRVINFM Index
04/19/2024 02:00,UK,119),,Retail Sales Inc Auto Fuel YoY,Mar,1.00%,--,-0.40%,--,80.2326,UKRVINFY Index
04/19/2024 02:00,UK,120),,Retail Sales Ex Auto Fuel MoM,Mar,0.30%,--,0.20%,--,77.907,UKRVAMOM Index
04/19/2024 02:00,UK,121),,Retail Sales Ex Auto Fuel YoY,Mar,1.00%,--,-0.50%,--,75.5814,UKRVAYOY Index
04/19/2024 02:00,GE,122),,PPI MoM,Mar,0.10%,--,-0.40%,--,51.9231,GRPFIMOM Index
04/19/2024 02:00,GE,123),,PPI YoY,Mar,-3.30%,--,-4.10%,--,50,GRPFIYOY Index
04/19/2024 09:00,US,124),,Bloomberg April United States Economic Survey,,,,,,0,
,,,,,,,,,,,
Download time: 18APR2024_09:05:00.929990,,,,,,,,,,,
